"","Date","ADX","ATR","B.S","BB_lower","BB_upper","D.E","EMA_100","EPS","Gross.Margin","MACD","OBV","P.B","Price.to.Earnings","Revenue.Growth","ROE","RSI","sentiment_score","SMA_100","STOCH_D","STOCH_K","EMA_50","Close"
"1",2021-10-01,25.6390280444358,2.02593261327613,3.025028924,102.628163426476,118.955681330604,0.716250845,109.720777288839,0.23,52.66268429,-1.44086421739371,16970800,37.51038514,493.3478261,24.14010729,7.617384209,33.8820370772987,0.230249019607843,109.235546951294,15.67987934347,13.8437073519348,109.526476622832,104.782012939453
"2",2021-10-04,27.1702473971276,2.08517280855963,3.025028924,101.53702656209,118.690277515059,0.716250845,109.57573891513,0.23,52.66268429,-1.75371030572298,8456300,37.51038514,493.3478261,24.14010729,7.617384209,28.7984116340435,0.0616837837837838,109.251180267334,11.4509995650618,13.0385812499207,109.246863399055,102.396339416504
"3",2021-10-05,28.5920939389129,2.02546141433265,3.025028924,100.793512948743,118.03151146532,0.716250845,109.438036766226,0.23,52.66268429,-1.96084844149377,16495900,37.51038514,493.3478261,24.14010729,7.617384209,29.8692381641839,0.14981,109.264036254883,13.7480650908032,14.3619066705541,108.987056222445,102.621780395508
"4",2021-10-06,30.2958175833787,2.010937568727,3.025028924,100.026845416079,117.666256085386,0.716250845,109.304548595712,0.23,52.66268429,-2.09479912040419,24049500,37.51038514,493.3478261,24.14010729,7.617384209,30.2456077318197,0.2120175,109.24307220459,15.0771139148968,17.8308538242154,108.740382808046,102.696884155273
"5",2021-10-07,30.4917335441842,2.02630020605498,3.025028924,99.7007279890505,116.926502082971,0.716250845,109.201416284556,0.23,52.66268429,-2.06423423112021,31871400,37.51038514,493.3478261,24.14010729,7.617384209,37.0274512099295,0.23436,109.260889663696,23.4731161589628,38.2265879821186,108.558264536449,104.096366882324
"6",2021-10-08,30.9501028495069,1.98622289711466,3.025028924,99.4398929903922,116.020141189295,0.716250845,109.08563334321,0.23,52.66268429,-2.07595336024616,26728000,37.51038514,493.3478261,24.14010729,7.617384209,35.0800684446126,0.231875,109.261596298218,36.3439200806558,52.9743184356333,108.35419054469,103.354377746582
"7",2021-10-11,30.9937329841469,1.9657804617691,3.025028924,99.4942497116498,114.758451856954,0.716250845,108.976234906078,0.23,52.66268429,-2.04499376043731,32046500,37.51038514,493.3478261,24.14010729,7.617384209,36.0881574035371,0.392472727272727,109.249832611084,51.8793867698228,64.4372538917163,108.166222769136,103.561012268066
"8",2021-10-12,31.4299670645039,1.99107706159007,3.025028924,99.5702543687919,113.425128321638,0.716250845,108.849287663778,0.23,52.66268429,-2.07685501900957,22751900,37.51038514,493.3478261,24.14010729,7.617384209,33.397220384127,0.3046175,109.219912796021,57.3239651414613,54.5603230970343,107.94658262799,102.565399169922
"9",2021-10-13,31.8350415676924,1.92265539604647,3.025028924,99.7566634430726,112.20339209892,0.716250845,108.739361559727,0.23,52.66268429,-2.01970703989878,30597000,37.51038514,493.3478261,24.14010729,7.617384209,37.1131837801754,0.149117948717949,109.210644378662,56.2431801022913,49.7319633181233,107.764286031174,103.29801940918
"10",2021-10-14,29.7892140678565,2.10466515700564,3.025028924,100.399077315932,110.787980179185,0.716250845,108.679597173808,0.23,52.66268429,-1.75860943038181,47527500,37.51038514,493.3478261,24.14010729,7.617384209,47.5391580360491,-0.012824,109.209021682739,51.3229355045813,49.6765200985861,107.684167366061,105.721260070801
"11",2021-10-15,27.8026455582693,2.11467473031735,3.025028924,100.667107601046,110.24850900662,0.716250845,108.663793878519,0.23,52.66268429,-1.36167535720689,59086300,37.51038514,493.3478261,24.14010729,7.617384209,54.7426413249041,0.164319230769231,109.222945022583,56.2912778153088,69.4653500292167,107.691907107067,107.881530761719
"12",2021-10-18,25.8474473242116,2.09310801111744,3.025028924,100.633370565923,110.342357278315,0.716250845,108.657230968912,0.23,52.66268429,-0.999205315503573,65860100,37.51038514,493.3478261,24.14010729,7.617384209,56.097493416123,0.157060869565217,109.225349197388,68.9549820909685,87.7230761451025,107.717023179079,108.332366943359
"13",2021-10-19,24.6994716428252,2.05362526413166,3.025028924,100.472413230202,110.691163277366,0.716250845,108.680927932147,0.23,52.66268429,-0.582453801369951,71266200,37.51038514,493.3478261,24.14010729,7.617384209,60.4056465485718,0.302344827586207,109.245112380981,85.528940135655,99.3983942326455,107.800823352931,109.853927612305
"14",2021-10-20,23.5947919861302,2.00622892940241,3.025028924,100.491519852769,110.64575736891,0.716250845,108.678675283777,0.23,52.66268429,-0.351948827716456,63060400,37.51038514,493.3478261,24.14010729,7.617384209,55.450047434606,0.168016363636364,109.237191619873,92.9373795581876,91.6906682968146,107.830876130834,108.567169189453
"15",2021-10-21,22.1102741458752,1.97966129041046,3.025028924,100.482891063351,110.663776417118,0.716250845,108.689486615226,0.23,52.66268429,-0.114894536046592,67700700,37.51038514,493.3478261,24.14010729,7.617384209,57.3742880788466,0.157203846153846,109.225129699707,92.2560886411194,85.679203393898,107.885533832447,109.224647521973
"16",2021-10-22,21.0867494742591,2.03415616060226,3.025028924,100.543748861234,110.470484537204,0.716250845,108.661769948031,0.23,52.66268429,-0.0822061156743246,61417700,37.51038514,493.3478261,24.14010729,7.617384209,50.4661160556489,0.222192307692308,109.189619369507,79.0124311615017,59.6674217937925,107.862171522229,107.289794921875
"17",2021-10-25,19.5853172292796,1.98546737523779,3.025028924,100.665961401767,110.112522179776,0.716250845,108.623628941316,0.23,52.66268429,-0.0998640720805923,54750000,37.51038514,493.3478261,24.14010729,7.617384209,48.6590649020038,0.133303125,109.168415527344,61.4102811438589,38.8842182438862,107.817994172686,106.735649108887
"18",2021-10-26,18.5414891153016,1.95501668587663,3.025028924,100.707358341202,110.285273952499,0.716250845,108.596286808959,0.23,52.66268429,-0.0721000309613657,59602300,37.51038514,493.3478261,24.14010729,7.617384209,50.4093627755283,0.196970588235294,109.127217330933,39.6638611752869,20.439943488182,107.795439548554,107.242851257324
"19",2021-10-27,17.5669328840521,1.90594245891098,3.025028924,100.783024524705,110.409666515334,0.716250845,108.561488384418,0.23,52.66268429,-0.0817446617985098,54207800,37.51038514,493.3478261,24.14010729,7.617384209,48.9774852407239,0.176341025641026,109.094000854492,25.9353769037744,18.4819689792549,107.757930796439,106.838966369629
"20",2021-10-28,17.1230352241878,1.9361837590196,3.025028924,100.785233710253,110.816969658888,0.716250845,108.569412922375,0.23,52.66268429,0.0809636523123771,59922100,37.51038514,493.3478261,24.14010729,7.617384209,56.0443581573804,0.163427536231884,109.10344367981,25.6528594410158,38.0366658556105,107.805136551531,108.96167755127
"21",2021-10-29,16.5216708528134,1.98506316750122,3.025028924,100.890892864936,110.912310717827,0.716250845,108.534216925411,0.23,52.66268429,0.0344405254030704,52803200,37.51038514,493.3478261,24.14010729,7.617384209,48.6302654038406,0.27011724137931,109.079914779663,30.8284006851655,35.966567220631,107.765406297576,106.792015075684
"22",2021-11-01,16.040614397239,1.90969074012743,3.025028924,101.371354245623,110.910863924543,0.716250845,108.507529170265,0.23,52.66268429,0.0290660069243103,57758900,37.51038514,493.3478261,24.14010729,7.617384209,49.9272484356695,0.112756164383562,109.049987335205,38.4677808994839,41.4001096222102,107.742703512986,107.186485290527
