"","Date","ADX","ATR","B.S","BB_lower","BB_upper","D.E","EMA_100","EPS","Gross.Margin","MACD","OBV","P.B","Price.to.Earnings","Revenue.Growth","ROE","RSI","sentiment_score","STOCH_D","STOCH_K","SMA_100","Close"
"1",2021-10-01,15.1751924516631,6.87547268490152,8.863476218,241.19985599898,263.524815937055,1.06,233.011155128132,0.85,27.35,5.55754616681546,916156200,39.74287191,414.4235294,64.92,7.69,61.0900649910041,0.233704255319149,62.9111335071238,52.381988091438,224.937001647949,258.406677246094
"2",2021-10-04,16.0245465326555,7.14031842085721,8.863476218,242.069684667289,264.253655176461,1.06,233.555686903132,0.85,27.35,5.55102313547508,1007606100,39.74287191,414.4235294,64.92,7.69,63.0273826199873,0.135388235294118,52.9598987428748,43.6653310291504,225.575801696777,260.510009765625
"3",2021-10-05,16.6862493832934,7.18053196975804,8.863476218,242.171990284793,265.073682322628,1.06,234.083230831257,0.85,27.35,5.45765603592594,952308300,39.74287191,414.4235294,64.92,7.69,62.5278926303303,0.0694454545454545,44.6144375321739,37.7959934759335,226.272134857178,260.196655273438
"4",2021-10-06,17.2323828947075,6.98763761379876,8.863476218,242.282719494295,265.925619433927,1.06,234.614585794878,0.85,27.35,5.37974565888879,996206700,39.74287191,414.4235294,64.92,7.69,63.2485909383131,0.199939743589744,41.0106488567307,41.5706220651084,226.915501403809,260.916656494141
"5",2021-10-07,18.4600221812957,7.01828399936447,8.863476218,242.155897613053,267.344110016342,1.06,235.207102553968,0.85,27.35,5.5461740960759,1053794100,39.74287191,414.4235294,64.92,7.69,66.7148354108456,0.192548175182482,43.4065225267656,50.852952039255,227.638101501465,264.536682128906
"6",2021-10-08,19.4178526408835,6.88530990858955,8.863476218,243.382324440691,267.758347861555,1.06,235.734288376112,0.85,27.35,5.39744374922751,1003578300,39.74287191,414.4235294,64.92,7.69,62.0058201388808,0.220011111111111,47.4440647184838,49.9086200510879,228.330167999268,261.829986572266
"7",2021-10-11,20.4953047766612,6.76850205797601,8.863476218,244.239508842137,268.532497383449,1.06,236.293609615919,0.85,27.35,5.39091971279885,1046179200,39.74287191,414.4235294,64.92,7.69,64.1692942717821,0.185286315789474,51.8608721854376,54.8210444659699,229.091768035889,263.980010986328
"8",2021-10-12,21.901176113402,6.77027583675898,8.863476218,244.774980198119,270.038026393678,1.06,236.932812073826,0.85,27.35,5.69079221490796,1112239200,39.74287191,414.4235294,64.92,7.69,68.3197136794806,0.191254782608696,54.7299681323977,59.4602398801354,229.821567993164,268.573333740234
"9",2021-10-13,23.3150064529119,6.51739977601392,8.863476218,244.771786412469,271.882885828742,1.06,237.594736297147,0.85,27.35,6.00340764037105,1154599500,39.74287191,414.4235294,64.92,7.69,69.785754209772,0.160096551724138,63.5908998431437,76.4914151833258,230.5889012146,270.359985351562
"10",2021-10-14,24.7987157179311,6.27020487362565,8.863476218,244.716750305556,273.982256347276,1.06,238.291342428833,0.85,27.35,6.37243814783704,1191341100,39.74287191,414.4235294,64.92,7.69,71.6914004792513,0.15842523364486,74.8353746205172,88.5544687980905,231.295167999268,272.773345947266
"11",2021-10-15,26.8684982450843,6.41495176672047,8.863476218,243.63789492249,277.845779699092,1.06,239.137256633522,0.85,27.35,7.24600003922126,1248114900,39.74287191,414.4235294,64.92,7.69,77.0188176520741,0.0803183098591549,86.374336300722,94.0771249207498,232.08963470459,281.010009765625
"12",2021-10-18,29.4727712723269,6.72412068698262,8.863476218,243.524080761219,282.624262134289,1.06,240.145166049272,0.85,27.35,8.56791555530572,1320736500,39.74287191,414.4235294,64.92,7.69,81.1954188482388,0.219143243243243,92.9036131665408,96.0792457807821,232.926234893799,290.036682128906
"13",2021-10-19,31.939056542956,6.61144545794591,8.863476218,244.303148527178,286.008193330732,1.06,241.094568629245,0.85,27.35,9.35067311243842,1268593200,39.74287191,414.4235294,64.92,7.69,77.907051909159,0.155566071428571,93.8508223341676,91.3960963009709,233.704301452637,288.089996337891
"14",2021-10-20,33.8040347859485,6.42753161175893,8.863476218,244.956997313943,289.149678406272,1.06,242.035270361408,0.85,27.35,9.89806886514276,1310689500,39.74287191,414.4235294,64.92,7.69,78.156646618295,0.1229,90.902022988624,85.230726884119,234.506234893799,288.600006103516
"15",2021-10-21,36.1009684473011,7.02794674705182,8.863476218,244.740767157206,294.044575250021,1.06,243.143482829499,0.85,27.35,10.9639987387459,1405134000,39.74287191,414.4235294,64.92,7.69,82.1576394777266,0.186000555555556,87.1544731187209,84.8365961710729,235.40656829834,298
"16",2021-10-22,38.3855965324815,6.97928481422669,8.863476218,243.523538009913,299.771469314306,1.06,244.333248596296,0.85,27.35,12.0911241910605,1473776400,39.74287191,414.4235294,64.92,7.69,83.9211729076654,0.193162275449102,87.013349319036,90.9727249019163,236.421768188477,303.226654052734
"17",2021-10-25,41.5916218926806,9.70314606215023,8.863476218,234.341492108197,316.73684651485,1.06,246.259718824433,0.85,27.35,15.8991257649265,1662332700,39.74287191,414.4235294,64.92,7.69,90.9765555296686,0.204237012987013,89.8351930329534,93.6962580258712,237.928501434326,341.619995117188
"18",2021-10-26,44.7589704663913,11.2362561299766,8.863476218,230.595488253817,328.511848171965,1.06,248.105598729944,0.85,27.35,18.5304373887121,1475087700,39.74287191,414.4235294,64.92,7.69,88.6382175615137,0.177669327731092,90.096550783284,85.6206694220646,239.326434631348,339.476654052734
"19",2021-10-27,47.7000798562655,11.6824762208599,8.863476218,227.861083845557,339.79791883999,1.06,250.043177737728,0.85,27.35,20.8974918472732,1590667200,39.74287191,414.4235294,64.92,7.69,89.5151873107481,0.138232768361582,85.7245196575927,77.8566315248424,240.768867950439,345.953338623047
"20",2021-10-28,50.4673731678258,11.8751568395708,8.863476218,225.345196607669,352.365804979245,1.06,252.201002657409,0.85,27.35,23.555696805552,1672306800,39.74287191,414.4235294,64.92,7.69,91.0203177706583,0.1852872,80.6515352978205,78.4773049465546,242.347034606934,359.013336181641
"21",2021-10-29,53.1494731870367,12.02693135103,8.863476218,223.219808638164,365.783859574726,1.06,254.560058911834,0.85,27.35,26.3526876357017,1762062000,39.74287191,414.4235294,64.92,7.69,92.1632075921841,0.147279365079365,81.742214722922,88.8927076973689,244.064434661865,371.333343505859
"22",2021-11-01,55.8598522116532,13.4476260041094,8.863476218,217.978381008832,385.260620456012,1.06,257.496757592494,0.85,27.35,30.7589602669516,1930208100,39.74287191,414.4235294,64.92,7.69,94.1983423303021,0.211410727969349,88.0078077786316,96.6534106919712,246.059334716797,402.863342285156
