"","Date","ADX","ATR","B.S","BB_lower","BB_upper","D.E","EMA_100","EPS","Gross.Margin","MACD","OBV","P.B","Price.to.Earnings","Revenue.Growth","ROE","RSI","sentiment_score","SMA_100","STOCH_D","STOCH_K","EMA_50","Close"
"1",2021-10-01,24.5099914863922,3.14736699409479,13.39583333,163.225074130195,178.334825772149,2.042055771,169.535245597391,1.3875,0.028904159,-1.35121153276842,250170000,12.44566096,120.1585586,9.443670105,10.3605917,36.2409731369219,0.3593375,170.054149932861,18.6724756204602,10.7167032729537,169.948173703604,164.162994384766
"2",2021-10-04,26.3821806546336,3.30473323628557,13.39583333,161.196672864505,178.921877245359,2.042055771,169.336310009583,1.3875,0.028904159,-1.91971953895074,159708000,12.44566096,120.1585586,9.443670105,10.3605917,28.948952183321,0.25865,170.073069915771,10.7791535256418,10.4145856020909,169.538009966721,159.488998413086
"3",2021-10-05,28.1206420251435,3.32207376300457,13.39583333,160.018783238175,178.658317897079,2.042055771,169.172224723289,1.3875,0.028904159,-2.21873006220295,225092000,12.44566096,120.1585586,9.443670105,10.3605917,33.7438030558715,0.0455,170.10283493042,12.5650081224487,16.5637354923014,169.205146950448,161.050003051758
"4",2021-10-06,29.7699548244669,3.3194967430327,13.39583333,159.553916953529,177.805734230553,2.042055771,169.051992439358,1.3875,0.028904159,-2.26414093491329,275752000,12.44566096,120.1585586,9.443670105,10.3605917,39.5177280969034,0.1943,170.122389831543,18.8979414063839,29.7155031247594,168.965748810617,163.100494384766
"5",2021-10-07,29.721239423446,3.31003352701251,13.39583333,159.344241875526,177.106760626915,2.042055771,168.974161019515,1.3875,0.028904159,-2.11269679925687,323934000,12.44566096,120.1585586,9.443670105,10.3605917,44.6386354847939,0.2763,170.138409881592,33.9303385392378,55.5117770006525,168.814994180291,165.121505737305
"6",2021-10-08,29.6760036939266,3.19228106247144,13.39583333,159.087009199706,176.461342851075,2.042055771,168.884197430136,1.3875,0.028904159,-2.02505076785494,283970000,12.44566096,120.1585586,9.443670105,10.3605917,43.2900144432413,0.3972,170.16657989502,52.424092673935,72.044997896393,168.643072830314,164.430999755859
"7",2021-10-11,30.2499063374312,3.15886831254323,13.39583333,158.578341965897,175.915659804122,2.042055771,168.754114361052,1.3875,0.028904159,-2.10210222967186,243286000,12.44566096,120.1585586,9.443670105,10.3605917,39.3651613383551,-0.7184,170.173829956055,64.4156007004892,65.690027204422,168.394913207219,162.315002441406
"8",2021-10-12,30.803881918007,3.04484200450443,13.39583333,158.175057363601,175.305594491867,2.042055771,168.627626964883,1.3875,0.028904159,-2.13440646760509,279678000,12.44566096,120.1585586,9.443670105,10.3605917,39.5089056064384,0.132257142857143,170.173654937744,62.6876556471292,50.3279418405726,168.158504879661,162.366500854492
"9",2021-10-13,30.7742648295115,2.97396082512297,13.39583333,158.274987291739,174.248114514902,2.042055771,168.54022850056,1.3875,0.028904159,-1.98801312578786,328080000,12.44566096,120.1585586,9.443670105,10.3605917,44.5843801050576,0.068575,170.21425491333,53.0581401595661,43.1564514337038,168.003818590914,164.214004516602
"10",2021-10-14,30.14528987472,2.86267793520069,13.39583333,158.724208630903,172.856992540972,2.042055771,168.4699862771,1.3875,0.028904159,-1.7885202794032,370270000,12.44566096,120.1585586,9.443670105,10.3605917,46.6181915920374,0.365255555555556,170.241689910889,49.676193027686,55.5441858087817,167.885747125224,164.99299621582
