"","Date","Close","Daily_ROI","ATR","MACD","ADX","EPS","sentiment_score"
"1",2021-10-01,104.782020568848,-0.000806034571818826,2.02592980498989,-1.4408630895432,25.6390850689424,0.23,0.230249019607843
"2",2021-10-04,102.396347045898,-0.0227679663934491,2.08517020336461,-1.75370880619928,27.1703139231613,0.23,0.0616837837837838
"3",2021-10-05,102.621772766113,0.00220150158397536,2.02545789987291,-1.96084788508706,28.5921692877932,0.23,0.14981
"4",2021-10-06,102.696907043457,0.000732147528916594,2.01093433430723,-2.09479687479693,30.2958947036848,0.23,0.2120175
"5",2021-10-07,104.096366882324,0.0136270884796461,2.02629556779493,-2.0642325134942,30.4918171210534,0.23,0.23436
"6",2021-10-08,103.354377746582,-0.00712790616968384,1.98621859015891,-2.07595207585477,30.9501935579858,0.23,0.231875
"7",2021-10-11,103.560997009277,0.00199913411700781,1.96577644456133,-2.04499404733701,30.9938368165841,0.23,0.392472727272727
"8",2021-10-12,102.565422058105,-0.00961341605356203,1.99107336830494,-2.07685349064494,31.4300732027462,0.23,0.3046175
"9",2021-10-13,103.298027038574,0.00714280666688727,1.922651972018,-2.0197053239611,31.8351498470396,0.23,0.149117948717949
"10",2021-10-14,105.721267700195,0.0234587313145507,2.10466198810506,-1.75860758704006,29.789305092801,0.23,-0.012824
"11",2021-10-15,107.881538391113,0.0204336434656087,2.1146717881938,-1.36167343505387,27.8027201411331,0.23,0.164319230769231
"12",2021-10-18,108.33235168457,0.00417878072727018,2.0931052609079,-0.999205179346703,25.8475172041013,0.23,0.157060869565217
"13",2021-10-19,109.853935241699,0.0140455139528335,2.05362434532912,-0.582453240211464,24.6995510556414,0.23,0.302344827586207
"14",2021-10-20,108.567169189453,-0.0117134270102839,2.00622807622862,-0.351948548587117,23.5948760832878,0.23,0.168016363636364
"15",2021-10-21,109.224639892578,0.00605588879247376,1.97966049002371,-0.114895089673894,22.1103559609539,0.23,0.157203846153846
"16",2021-10-22,107.28978729248,-0.0177144333183481,2.03415540345555,-0.0822073154371452,21.0868304476687,0.23,0.222192307692308
"17",2021-10-25,106.735656738281,-0.00516480243071615,1.98546667907847,-0.0998645471771056,19.5854022208074,0.23,0.133303125
"18",2021-10-26,107.242858886719,0.00475194666840495,1.95501604478852,-0.0720999328851661,18.5415790662041,0.23,0.196970588235294
